user_id,match_id,map_id,x,y,z,ts,event,is_bot,date
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,41.072296,106.724174,-18.20206,1970-01-21 11:56:59.114,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,82.77541,106.702835,-57.172897,1970-01-21 11:56:59.139,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,40.165916,107.81005,3.8578928,1970-01-21 11:56:59.215,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,93.83344,106.70207,-98.70438,1970-01-21 11:56:59.169,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-163.75896,147.50046,310.00873,1970-01-21 11:56:59.290,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,7.180835,106.39077,4.0477824,1970-01-21 11:56:59.008,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,71.40738,107.59853,-41.852158,1970-01-21 11:56:59.129,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-6.770194,106.33777,-29.345625,1970-01-21 11:56:59.049,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,16.42128,106.43439,-5.921843,1970-01-21 11:56:59.099,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-14.893063,111.08784,-5.1980724,1970-01-21 11:56:59.079,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-24.413633,111.19978,-21.571754,1970-01-21 11:56:59.069,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,42.08,109.84018,234.46204,1970-01-21 11:56:58.641,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-146.69318,147.52458,303.66937,1970-01-21 11:56:58.566,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-17.051836,111.03243,5.2473006,1970-01-21 11:56:58.948,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-14.987478,111.04624,0.9861489,1970-01-21 11:56:58.953,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,23.273384,109.79674,261.7309,1970-01-21 11:56:58.616,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-162.13332,147.57317,314.73157,1970-01-21 11:56:58.511,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,-27.861282,110.74539,-34.84989,1970-01-21 11:56:59.059,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,43.07353,116.99915,235.7514,1970-01-21 11:56:58.707,Position,False,1970-01-21
10648aa3-b215-4c52-9577-5c5689a08939,fe725def-4a3a-46f7-9646-dee91cb7d1be.nakama-0,AmbroseValley,52.09441,109.79674,213.63194,1970-01-21 11:56:58.747,Position,False,1970-01-21
